Symbol 1,Symbol 2,APR,SHARPE,
NOC,PYPL,-0.235302224099934,-0.893496902818058,-544.473081052632
IBM,PYPL,-0.223087265031035,-0.921313841769698,-218.322631578947
PYPL,VRTX,-0.222593695084921,-0.884324037141105,-345.142105263158
PYPL,T,-0.222421490972547,-0.889764781747381,-100.503684210526
CVX,PYPL,-0.219485840249081,-0.802440609989022,-248.326315789474
BMY,PYPL,-0.211078408684936,-0.916765321798306,-155.253684210526
AMT,PYPL,-0.208505256919426,-0.915810857907635,-331.795295263158
PM,PYPL,-0.202179876235143,-0.840871723795718,-182.711578947368
AMGN,PYPL,-0.202083865582021,-0.876448999724745,-323.641578947368
JNJ,PYPL,-0.198574558018258,-0.848843587150896,-255.071578947368
KO,PYPL,-0.191161140051813,-0.783730608261185,-141.633032894737
CVX,SCHW,-0.188239132700999,-1.16532774027157,-233.555263157895
BDX,PYPL,-0.187423337545459,-0.744956220685005,-326.609662631579
GILD,PYPL,-0.186727567401788,-0.791123335210796,-141.117188105263
PYPL,V,-0.179983681987348,-0.836746361741724,-283.337894736842
PYPL,RTX,-0.178887613525689,-0.67502841393762,-174.473684210526
CVS,PYPL,-0.174476303998919,-0.666653328986887,-173.616315789474
PYPL,VZ,-0.173232144055495,-0.682002200169021,-130.655789473684
CVX,MS,-0.171635121776626,-1.21910203459703,-248.331578947368
LMT,PYPL,-0.171567312520929,-0.619967774789961,-509.995765263158
CAT,CVX,-0.163985307775361,-1.25548368963487,-378.637894736842
ABBV,PYPL,-0.163420217216586,-0.639527338649028,-224.960526315789
ADP,PYPL,-0.16318512261212,-0.682334793487212,-293.157612631579
PFE,PYPL,-0.162988871981367,-0.568180750237906,-130.896315789474
PYPL,UNH,-0.161996481255058,-0.69031138005119,-563.174750526316
ANTM,PYPL,-0.161907603089776,-0.584973992972354,-562.585276842105
MRK,PYPL,-0.16063419433546,-0.655397971881036,-168.280266315789
PEP,PYPL,-0.158987996678779,-0.680341288075276,-243.184585263158
MDLZ,PYPL,-0.155732936061157,-0.653022238446328,-141.24
CCI,PYPL,-0.155325581198644,-0.614475548831946,-254.358307894737
CB,PYPL,-0.155209495667598,-0.581783823278385,-281.442703157895
